Enzyme	Concentration
R_rxn05363_c_duplicate_2_enzyme	0.0
R_rxn09108_c_enzyme	0.0
R_rxn10147_c_enzyme	0.0
R_rxn00500_c_duplicate_2_enzyme	0.0
R_rxn00882_c_enzyme	0.0
R_rxn08299_c_enzyme	0.0
R_rxn00414_c_enzyme	0.0
R_rxn00173_c_duplicate_2_enzyme	0.0
R_rxn03185_c_enzyme	0.0
R_rxn05501_c_enzyme	0.0
R_rxn12643_c_enzyme	0.0
R_rxn01333_c_enzyme	0.0
R_rxn05386_c_enzyme	0.0
R_rxn10121_c_enzyme	0.0
R_rxn01451_c_duplicate_2_enzyme	0.0
R_rxn00973_c_enzyme	1.7046529376486968e-05
R_rxn01368_c_enzyme	0.0
R_rxn01827_c_duplicate_2_enzyme	0.0
R_rxn12847_c_duplicate_2_enzyme	0.0
R_rxn00495_c_enzyme	0.0
R_rxn03951_c_enzyme	0.0
R_rxn05006_c_duplicate_3_enzyme	0.0
R_rxn10199_c_duplicate_2_enzyme	0.0
R_rxn02400_c_duplicate_3_enzyme	0.0
R_rxn00141_c_enzyme	4.2418754378030465e-12
R_rxn00676_c_duplicate_2_enzyme	0.0
R_rxn01621_c_enzyme	0.0
R_rxn02737_c_enzyme	0.0
R_rxn00013_c_enzyme	0.0
R_rxn07899_c_enzyme	0.0
R_rxn06577_c_enzyme	0.0
R_rxn00913_c_enzyme	0.0
R_rxn00783_c_enzyme	0.0
R_rxn01018_c_enzyme	0.0
R_rxn06723_c_enzyme	2.72055808587224e-07
R_rxn09450_c_duplicate_3_enzyme	0.0
R_rxn00808_c_enzyme	0.0
R_rxn09992_c_enzyme	0.0
R_rxn00838_c_duplicate_2_enzyme	6.342505657016475e-06
R_rxn05437_c_enzyme	0.0
R_rxn09225_c_enzyme	0.0
R_rxn00867_c_enzyme	0.0
R_rxn01269_c_enzyme	0.0
R_rxn09310_c_enzyme	0.0
R_rxn00237_c_enzyme	1.465486977905263e-05
R_rxn12643_c_duplicate_5_enzyme	0.0
R_rxn14054_c_duplicate_6_enzyme	0.0
R_rxn03871_c_enzyme	0.0
R_rxn00656_c_enzyme	6.362813156708271e-10
R_rxn10234_c_enzyme	0.0
R_rxn10473_c_enzyme	0.0
R_rxn03482_c_duplicate_4_enzyme	0.0
R_rxn03239_c_enzyme	0.0
R_rxn09450_c_duplicate_6_enzyme	0.0
R_rxn05250_c_duplicate_6_enzyme	0.0
R_rxn01286_c_enzyme	0.0
R_rxn01145_c_duplicate_2_enzyme	0.0
R_rxn02230_c_enzyme	0.0
R_rxn01987_c_enzyme	0.0
R_rxn00274_c_enzyme	7.889972301607495e-07
R_rxn11723_c_enzyme	0.0
R_rxn03638_c_enzyme	9.922258468507419e-08
R_rxn05115_c_enzyme	0.0
R_rxn00328_c_enzyme	0.0
R_rxn05453_c_duplicate_2_enzyme	0.0
R_rxn12635_c_duplicate_5_enzyme	0.0
R_rxn04989_c_enzyme	0.0
R_rxn05347_c_duplicate_2_enzyme	0.0
R_rxn04132_c_enzyme	0.0
R_rxn01115_c_duplicate_2_enzyme	8.294546591293872e-07
R_rxn08118_c_enzyme	0.0
R_rxn00193_c_duplicate_2_enzyme	0.0
R_bio1_enzyme	0
R_rxn03246_c_enzyme	0.0
R_rxn01870_c_enzyme	8.190064978966643e-07
R_rxn08527_c_enzyme	0.0
R_rxn03247_c_duplicate_2_enzyme	0.0
R_rxn12844_c_duplicate_5_enzyme	0.0
R_rxn00122_c_enzyme	0.0
R_rxn06449_c_enzyme	5.433884715146268e-07
R_rxn05413_c_enzyme	0.0
R_rxn03898_c_enzyme	0.0
R_rxn00295_c_duplicate_2_enzyme	0.0
R_rxn00371_c_enzyme	4.2752890237437295e-05
R_rxn09264_c_enzyme	0.0
R_rxn00910_c_enzyme	0.0
R_rxn04908_c_duplicate_6_enzyme	0.0
R_rxn05466_c_enzyme	0.0
R_rxn00676_c_duplicate_4_enzyme	0.0
R_rxn00068_c_enzyme	0.0
R_rxn01851_c_duplicate_5_enzyme	0.0
R_rxn05154_c_duplicate_2_enzyme	0.0
R_rxn00656_c_duplicate_2_enzyme	0.0
R_rxn05247_c_duplicate_6_enzyme	0.0
R_rxn11569_c_enzyme	0.0
R_rxn12637_c_duplicate_3_enzyme	0.0
R_rxn01416_c_enzyme	0.0
R_rxn12522_c_enzyme	0.0
R_rxn10161_c_enzyme	0.0
R_rxn00132_c_duplicate_3_enzyme	0.0
R_rxn03762_c_enzyme	0.0
R_rxn06570_c_enzyme	0.0
R_rxn03094_c_enzyme	0.0
R_rxn10161_c_duplicate_4_enzyme	0.0
R_rxn01225_c_duplicate_2_enzyme	0.0
R_rxn09436_c_enzyme	1.6505985703579215e-07
R_rxn02167_c_duplicate_2_enzyme	0.0
R_rxn05958_c_enzyme	0.0
R_rxn04113_c_enzyme	0.0
R_rxn00109_c_enzyme	0.0
R_rxn01548_c_enzyme	0.0
R_rxn01639_c_duplicate_2_enzyme	0.0
R_rxn00260_c_duplicate_5_enzyme	3.553309394134082e-06
R_rxn10125_c_enzyme	0.0
R_rxn02811_c_duplicate_2_enzyme	0.0
R_rxn05359_c_enzyme	0.0
R_rxn02302_c_enzyme	0.0
R_rxn00085_c_enzyme	0.0
R_rxn01682_c_duplicate_2_enzyme	0.0
R_rxn14294_c_enzyme	0.0
R_rxn07688_c_enzyme	0.0
