R_rxn00471_c_enzyme	1xPN96_18395
R_rxn00471_c_duplicate_2_enzyme	1xPN96_15855
R_rxn00472_c_enzyme	1xPN96_13240
R_rxn00472_c_duplicate_2_enzyme	1xPN96_02805
R_rxn00473_c_enzyme	4xPN96_15750
R_rxn00474_c_enzyme	1xPN96_12840
R_rxn00474_c_duplicate_2_enzyme	1xPN96_03910	1xPN96_03905
R_rxn00484_c_enzyme	4xPN96_14785
R_rxn00490_c_enzyme	1xPN96_13440
R_rxn00493_c_enzyme	1xPN96_23215
R_rxn00493_c_duplicate_2_enzyme	1xaverage_protein_Cytoplasm	1xPN96_17550
R_rxn00493_c_duplicate_3_enzyme	1xaverage_protein_Cytoplasm	2xPN96_07790
R_rxn00495_c_enzyme	1xPN96_17630
R_rxn00497_c_enzyme	4xPN96_14785
R_rxn00499_c_enzyme	1xPN96_15345
R_rxn00499_c_duplicate_2_enzyme	1xPN96_16800
R_rxn00500_c_enzyme	1xPN96_20240
R_rxn00500_c_duplicate_2_enzyme	1xPN96_16785
R_rxn00501_c_enzyme	1xPN96_21460
R_rxn00501_c_duplicate_2_enzyme	1xPN96_19055
R_rxn00503_c_enzyme	1xPN96_16180
R_rxn00503_c_duplicate_2_enzyme	1xPN96_19485
R_rxn00506_c_enzyme	1xPN96_08230
R_rxn00506_c_duplicate_2_enzyme	1xPN96_15085
R_rxn00506_c_duplicate_3_enzyme	1xPN96_19585
R_rxn00506_c_duplicate_4_enzyme	1xPN96_08640
R_rxn00506_c_duplicate_5_enzyme	1xPN96_05305
R_rxn00512_c_enzyme	1xaverage_protein_Cytoplasm	1xPN96_00450
R_rxn00515_c_enzyme	4xPN96_10485
R_rxn00519_c_enzyme	1xPN96_12450
R_rxn00527_c_enzyme	1xPN96_16090
R_rxn00527_c_duplicate_2_enzyme	1xPN96_20475
R_rxn00527_c_duplicate_3_enzyme	1xPN96_22890
R_rxn00527_c_duplicate_4_enzyme	1xPN96_19510
R_rxn00527_c_duplicate_5_enzyme	1xPN96_04195
R_rxn00527_c_duplicate_6_enzyme	1xPN96_23215
R_rxn00527_c_duplicate_7_enzyme	1xaverage_protein_Cytoplasm	1xPN96_17550
R_rxn00527_c_duplicate_8_enzyme	1xaverage_protein_Cytoplasm	2xPN96_07790
R_rxn00529_c_enzyme	4xPN96_14785
R_rxn00532_c_enzyme	2xPN96_02900
R_rxn00532_c_duplicate_2_enzyme	2xPN96_03170
R_rxn00537_c_enzyme	2xPN96_17080
R_rxn00539_c_enzyme	1xPN96_17240
R_rxn00539_c_duplicate_2_enzyme	1xPN96_17245
R_rxn00539_c_duplicate_3_enzyme	1xPN96_07845
R_rxn00540_c_enzyme	1xPN96_06250
R_rxn00541_c_enzyme	1xPN96_20210
R_rxn00542_c_enzyme	1xPN96_01740
R_rxn00543_c_enzyme	1xPN96_04715
R_rxn00543_c_duplicate_2_enzyme	1xPN96_03185
R_rxn00543_c_duplicate_3_enzyme	1xPN96_22385
R_rxn00543_c_duplicate_4_enzyme	1xPN96_22510
R_rxn00543_c_duplicate_5_enzyme	1xPN96_04765
R_rxn00543_c_duplicate_6_enzyme	1xPN96_21525
R_rxn00543_c_duplicate_7_enzyme	1xPN96_22145
R_rxn00545_c_enzyme	4xPN96_14310
R_rxn00546_c_enzyme	1xPN96_11520
R_rxn00547_c_enzyme	1xPN96_07145
R_rxn00549_c_enzyme	1xPN96_12055
R_rxn00549_c_duplicate_2_enzyme	4xPN96_11745
R_rxn00549_c_duplicate_3_enzyme	1xPN96_07785
R_rxn00550_c_enzyme	1xPN96_20755
R_rxn00550_c_duplicate_2_enzyme	1xPN96_07525
R_rxn00550_c_duplicate_3_enzyme	1xPN96_09695
R_rxn00552_c_enzyme	1xPN96_16380
R_rxn00555_c_enzyme	1xPN96_08920
R_rxn00558_c_enzyme	1xPN96_14920
R_rxn00566_c_enzyme	1xPN96_22110
R_rxn00566_c_duplicate_2_enzyme	1xPN96_07605
R_rxn00568_c_enzyme	1xaverage_protein_Cytoplasm	1xPN96_20325	1xPN96_20320
R_rxn00568_c_duplicate_2_enzyme	1xaverage_protein_Cytoplasm	1xPN96_19165	1xPN96_20320
R_rxn00568_c_duplicate_3_enzyme	1xaverage_protein_Cytoplasm	1xPN96_20325	1xPN96_19170
R_rxn00568_c_duplicate_4_enzyme	1xaverage_protein_Cytoplasm	1xPN96_19165	1xPN96_19170
R_rxn00569_c_enzyme	1xPN96_20325
R_rxn00569_c_duplicate_2_enzyme	1xPN96_19165
R_rxn00569_c_duplicate_3_enzyme	1xPN96_20320
R_rxn00569_c_duplicate_4_enzyme	1xPN96_19170
R_rxn00572_c_enzyme	4xPN96_18240
R_rxn00575_c_enzyme	1xPN96_02885
R_rxn00575_c_duplicate_2_enzyme	1xPN96_02870
R_rxn00584_c_enzyme	1xPN96_18365
R_rxn00584_c_duplicate_2_enzyme	1xPN96_09115
R_rxn00588_c_enzyme	1xPN96_18345
R_rxn00601_c_enzyme	1xPN96_14625
R_rxn00604_c_enzyme	1xPN96_21670
R_rxn00604_c_duplicate_2_enzyme	1xPN96_05280
R_rxn00606_c_enzyme	1xPN96_09965
R_rxn00608_c_enzyme	1xPN96_17690
R_rxn00608_c_duplicate_2_enzyme	1xPN96_19460
R_rxn00608_c_duplicate_3_enzyme	1xPN96_06535
R_rxn00608_c_duplicate_4_enzyme	1xPN96_08690
R_rxn00608_c_duplicate_5_enzyme	1xPN96_17680
R_rxn00611_c_enzyme	1xPN96_14420
R_rxn00612_c_enzyme	1xPN96_14420
R_rxn00615_c_enzyme	1xPN96_01955
R_rxn00616_c_enzyme	1xPN96_01945
R_rxn00623_c_enzyme	1xPN96_21675	1xPN96_14960
R_rxn00623_c_duplicate_2_enzyme	1xPN96_14955	1xPN96_14960
R_rxn00627_c_enzyme	1xPN96_00060
R_rxn00629_c_enzyme	1xPN96_22080
R_rxn00646_c_enzyme	1xPN96_01235
R_rxn00649_c_enzyme	1xPN96_09510
R_rxn00650_c_enzyme	1xPN96_02255
R_rxn00650_c_duplicate_2_enzyme	1xPN96_00615
R_rxn00650_c_duplicate_3_enzyme	1xPN96_05595
R_rxn00650_c_duplicate_4_enzyme	1xPN96_14690
R_rxn00650_c_duplicate_5_enzyme	1xPN96_04945
R_rxn00650_c_duplicate_6_enzyme	6xPN96_10490
R_rxn00653_c_enzyme	1xPN96_08230
R_rxn00653_c_duplicate_2_enzyme	1xPN96_15085
R_rxn00653_c_duplicate_3_enzyme	1xPN96_19585
R_rxn00653_c_duplicate_4_enzyme	1xPN96_08640
R_rxn00653_c_duplicate_5_enzyme	1xPN96_05305
R_rxn00655_c_enzyme	1xPN96_11655
R_rxn00656_c_enzyme	1xPN96_08670
R_rxn00656_c_duplicate_2_enzyme	1xPN96_15805
R_rxn00658_c_enzyme	1xPN96_09365
R_rxn00669_c_enzyme	1xaverage_protein_Cytoplasm	1xPN96_05365
