Enzyme	Concentration
R_HACD2_duplicate_6_enzyme	0.0
R_HACD2_duplicate_7_enzyme	0.0
R_HACD4_enzyme	0.0
R_HACD4_duplicate_2_enzyme	0.0
R_HACD4_duplicate_3_enzyme	0.0
R_HACD4_duplicate_4_enzyme	0.0
R_HACD4_duplicate_5_enzyme	0.0
R_HACD4_duplicate_6_enzyme	0.0
R_HACD4_duplicate_7_enzyme	0.0
R_3HBCDH_enzyme	0.0
R_DURIt2_enzyme	0
R_GLYCLTt2r_enzyme	0
R_G6PDA_enzyme	0.0
R_UDPG4E1_enzyme	0.0
R_UDPG4E1_duplicate_2_enzyme	0.0
R_PUNP7_enzyme	0.0
R_ALATA_D_enzyme	0.0
R_PUNP6_enzyme	0.0
R_PUNP5_enzyme	0.0
R_PUNP4_enzyme	0.0
R_PAPPT3_enzyme	4.791560769081117e-07
R_PROt4_enzyme	0
R_3HBD_enzyme	0.0
R_3HBD_duplicate_2_enzyme	0.0
R_PUNP3_enzyme	0.0
R_PUNP2_enzyme	0.0
R_PUNP1_enzyme	0.0
R_FBMO2_enzyme	0.0
R_FBMO2_duplicate_2_enzyme	0.0
R_FBMO2_duplicate_3_enzyme	0.0
R_FBMO2_duplicate_4_enzyme	0.0
R_FBMO1_enzyme	0.0
R_FBMO1_duplicate_2_enzyme	0.0
R_FBMO1_duplicate_3_enzyme	0.0
R_FBMO1_duplicate_4_enzyme	0.0
R_DHPPRAP_enzyme	3.966814434322583e-12
R_HMDPPK_enzyme	0.0
R_HPPPNt2r_enzyme	0
R_PNTK_enzyme	2.3957803845409132e-09
R_LCADi_enzyme	0.0
R_CBPS_enzyme	0.0
R_FBMO6_enzyme	0.0
R_FBMO6_duplicate_2_enzyme	0.0
R_FBMO6_duplicate_3_enzyme	0.0
R_FBMO6_duplicate_4_enzyme	0.0
R_PNTOK2_enzyme	0.0
R_FBMO5_enzyme	0.0
R_FBMO5_duplicate_2_enzyme	0.0
R_FBMO5_duplicate_3_enzyme	0.0
R_FBMO5_duplicate_4_enzyme	0.0
R_PNTOK3_enzyme	0.0
R_HDCAt2_enzyme	0
R_FBMO3_enzyme	0.0
R_FBMO3_duplicate_2_enzyme	0.0
R_FBMO3_duplicate_3_enzyme	0.0
R_FBMO3_duplicate_4_enzyme	0.0
R_DSERt2_enzyme	0
R_FBMO9_enzyme	0.0
R_FBMO9_duplicate_2_enzyme	0.0
R_FBMO9_duplicate_3_enzyme	0.0
R_FBMO9_duplicate_4_enzyme	0.0
R_FBMO8_enzyme	0.0
R_FBMO8_duplicate_2_enzyme	0.0
R_FBMO8_duplicate_3_enzyme	0.0
R_FBMO8_duplicate_4_enzyme	0.0
