R_ENO_enzyme	122706	122706
R_ALDD2x_enzyme	20196	20196
R_CYSS_enzyme	86400	86400
R_MALS_enzyme	89460	89460
R_U23GAAT_enzyme	82800	82800
R_NNDPR_enzyme	2052	2052
R_PHETA1_enzyme	102600	102600
R_GLUDy_enzyme	134280	134280
R_GDH1_enzyme	219600	219600
R_HISTP_enzyme	626400	626400
R_HISTRS_enzyme	7344	7344
R_DGK1_enzyme	469800	469800
R_ACOTA_enzyme	4266	4266
R_PSCIT_enzyme	70200	70200
R_DXPS_enzyme	6120	6120
R_NADTRHD_enzyme	604440	604440
R_AMALT3_enzyme	79200	79200
R_AMALT4_enzyme	79200	79200
R_AMALT1_enzyme	79200	79200
R_AOXSr_enzyme	19.799999999999997	19.799999999999997
R_AMALT2_enzyme	79200	79200
R_ALCD2x_enzyme	205200	205200
R_SLCYSS_enzyme	694800	694800
R_HSTPT_enzyme	8010	8010
R_3OXCOAT_enzyme	28080	28080
R_HPYRRy_enzyme	532800000	532800000
R_GMAND_enzyme	18000	18000
R_PPNDH_enzyme	6955200	6955200
R_PPND_enzyme	234000	234000
R_ALCD19_enzyme	99360	99360
R_GLYCTO1_enzyme	10440.000000000002	10440.000000000002
R_ADOCBIK_enzyme	795.6	795.6
R_PRAI_enzyme	180000	180000
R_GLUK_enzyme	904680	904680
R_HXPRT_enzyme	3492	3492
R_EDA_enzyme	30743.999999999996	30743.999999999996
R_OMPDC_enzyme	151200	151200
R_SERTRS_enzyme	15066.000000000002	15066.000000000002
R_DADA_enzyme	41400	41400
R_LALDO2x_enzyme	532800000	532800000
R_PRPPS_enzyme	163080	163080
R_CRTNh_enzyme	4824000	4824000
R_DDGLK_enzyme	23760	23760
R_G1PACT_enzyme	2980800	2980800
R_ME1_enzyme	2232000	2232000
R_ME2_enzyme	1167480	1167480
R_PROTRS_enzyme	44640	44640
R_BPNT_enzyme	18720	18720
R_ABTA_enzyme	170640	170640
R_DHORD_NAD_enzyme	92520	92520
R_RBFSa_enzyme	237.05999999999997	237.05999999999997
R_KARI_enzyme	3924.0000000000005	3924.0000000000005
R_TRE6PS_enzyme	25200	25200
R_OMCDC_enzyme	72000	72000
R_ASPO1_enzyme	648	648
R_ADSS_enzyme	3600	3600
R_ALDD19xr_enzyme	52200	52200
R_MCOATA_enzyme	360000	360000
R_GK1_enzyme	469800	469800
R_HPYRRx_enzyme	1566	1566
R_PSP_L_enzyme	540	540
R_GLUR_enzyme	90000	90000
R_ACCOAC_enzyme	75060	75060
R_PSERT_enzyme	4284	4284
R_HCO3E_enzyme	864000000	864000000
R_RBPC_enzyme	23364	23364
